Número Identificador,Nome,Artigos Completos em Periódicos,Ano do Primeiro Artigo,Ano do Último Artigo,Livros Publicados/Organizados,Ano do Primeiro Livro,Ano do Último Livro,Capítulos de Livros Publicados,Ano do Primeiro Capítulo,Ano do Último Capítulo,Trabalhos Completos em Anais de Congressos,Ano do Primeiro Trabalho,Ano do Último Trabalho,Resumos Expandidos em Anais de Congressos,Ano do Primeiro Resumo Expandido,Ano do Último Resumo Expandido,Resumos em Anais de Congressos,Ano do Primeiro Resumo,Ano do Último Resumo,Apresentação de Trabalhos,Ano da Primeira Apresentação,Ano da Última Apresentação
0013925296089390,Regina Eufrasia do Nascimento Ruete,1,2000,2000,0,,,0,,,0,,,0,,,0,,,1,2009,2009
0013929017046150,Pedro Henrique Fernandes da Silva,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0013933884867428,Raimundo Amadeu Rocha Filho,7,2001,2000,0,,,0,,,0,,,0,,,0,,,0,,
0013935085701273,Felipe Streitenberger Ivo,0,,,0,,,0,,,8,2008,2018,1,2017,2017,0,,,6,2008,2012
0013938334738471,Dayse Aparecida de Oliveira Braga,5,2016,2017,0,,,0,,,0,,,19,2015,2015,7,2015,2016,47,2014,2013
0013949486396396,Vanessa Pereira Amorim,3,2014,2016,2,2015,2020,9,2015,2017,17,2014,2016,5,2014,2021,2,2018,2021,14,2014,2015
0013962630779982,Maiara Oliveira Diniz,0,,,0,,,0,,,0,,,0,,,2,2019,2019,1,2019,2019
,Ivoneide Ferreira Damasceno,0,,,0,,,0,,,1,2003,2003,0,,,0,,,0,,
0014075359309107,Daniel Kohl Greghi,0,,,0,,,0,,,0,,,5,2016,2015,0,,,6,2015,2016
0014087828523013,Carla Moema Fontoura Abissulo,4,2015,2014,0,,,0,,,0,,,0,,,0,,,7,2014,2015
0014095029834937,Luciana Nunes Titton Lima,2,2009,2010,0,,,0,,,0,,,1,2008,2008,0,,,4,2004,2005
0014097647157542,Luciana Rodrigues Leite,18,2012,2017,0,,,8,2016,2015,17,2013,2012,7,2012,2018,7,2013,2020,58,2008,2014
0014116496867171,Rosangela da Conceicao Marques Pena,7,2000,2017,0,,,3,2021,2021,0,,,60,1993,2011,5,2009,2012,6,2006,2012
0014125746088457,Kyene Becker da Silva,1,2017,2017,0,,,2,2020,2017,4,2015,2015,2,2016,2019,2,2011,2015,6,2011,2016
0014126320532113,Carlos Henrique Fernandes Castelpoggi,1,2008,2008,0,,,0,,,0,,,0,,,0,,,0,,
0014126858623932,Ricardo Zatyrko,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0014130258332912,Isabel Alessandra Miranda Nunes,1,2019,2019,0,,,0,,,0,,,4,1999,1999,0,,,14,2000,2017
0014163434093499,Ligia Villas Boas Gabbi,0,,,1,2009,2009,0,,,1,2009,2009,0,,,0,,,0,,
0014168848636942,Michele Strelow Moreira,2,2013,2013,1,2014,2014,3,2020,2020,0,,,2,2017,2009,1,2009,2009,6,2009,2009
0014182465462012,Tatiana Klafke,0,,,0,,,0,,,0,,,0,,,1,2012,2012,2,2012,2014
0014192601038841,Nickollas Pereira Martins,0,,,0,,,0,,,0,,,0,,,0,,,1,2019,2019
,William Tallmann,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0014257804633436,Marlito Pereira de Andrade,1,2014,2014,0,,,0,,,5,2014,2015,1,2004,2004,0,,,2,2004,2013
0014272074820850,Ligia Cirino Girao,0,,,0,,,0,,,0,,,0,,,0,,,1,2011,2011
0014282848312979,Eliane Freire Anthonisen,0,,,0,,,0,,,0,,,4,2006,2006,2,2013,2012,6,2003,2004
0014288654902205,Ellen Albuquerque de Freitas,0,,,0,,,0,,,0,,,0,,,4,2013,2013,27,2012,2014
0014309162683889,Teresa Boulart Gomez,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0014330614016887,Jorge Washington da Silva Frota,0,,,0,,,1,2014,2014,0,,,2,2010,2010,0,,,2,2010,2010
0014351531474468,Hélvis Enri de Sousa Paz,2,2017,2017,0,,,0,,,0,,,23,2015,2016,0,,,28,2014,2016
0014393180414242,Renato Felipe de Andrade,0,,,0,,,0,,,0,,,0,,,8,2015,2015,13,2015,2015
0014406508504768,Felipe Costa de Paiva,0,,,0,,,0,,,4,2009,2013,0,,,0,,,0,,
0014408089357764,Adriana Rodrigues Miguel de Azevedo,0,,,0,,,1,2010,2010,0,,,0,,,0,,,39,2009,1999
0014434515412271,Patrícia Noll de Mattos,0,,,7,2003,2006,16,2008,2011,0,,,5,1995,1995,0,,,1,2007,2007
0014440608631870,Zilka Sulamita Teixeira de Aguilar Pacheco,4,2016,2018,0,,,1,2017,2017,12,2015,2018,0,,,0,,,0,,
,David Carty,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0014465368184046,Renata Rostirola Guedes,5,2008,2012,0,,,7,2009,2011,0,,,4,2014,2007,0,,,1,2012,2012
0014469737536627,Ethiene Cavalléro Barroso,1,2009,2009,0,,,0,,,1,2002,2002,1,2003,2003,0,,,1,2002,2002
0014474879044619,Klauber Rogério Candian,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0014506260724357,Isabella Corrêa de Lucena,0,,,0,,,1,2019,2019,0,,,0,,,0,,,0,,
0014516436115452,Natalie Cole Danielle Bezerra,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0014522185996242,Juliana dos Santos Pereira Moraes,2,2016,2016,0,,,1,2016,2016,0,,,0,,,0,,,2,2009,2015
,Alexandro Vaesken Alves,3,2003,2009,0,,,1,2000,2000,0,,,1,1997,1997,0,,,20,1998,2007
0014542991364943,Francisca Edinete Nogueira de Sousa,0,,,0,,,0,,,0,,,0,,,0,,,3,2018,2018
0014549048703939,Flávia Lúcio Pereira de Paula,0,,,0,,,0,,,0,,,0,,,0,,,2,2000,1999
0014550085642792,Douglas de Moraes Couceiro,1,2020,2020,0,,,5,2017,2016,0,,,8,2013,2019,2,2014,2014,18,2013,2014
0014565814915344,Nathália Rocha Lima,1,2014,2014,0,,,0,,,1,2013,2013,25,2009,2011,1,2011,2011,12,2007,2009
,Josefa Iluminata de Macedo Borba,1,1997,1997,0,,,0,,,0,,,0,,,0,,,0,,
0014621967107422,Flávia Almeida Morato da Silva,1,2018,2018,0,,,0,,,2,2016,2016,0,,,0,,,2,2016,2016
0014633699886575,Maria do Socorro Rodrigues da Silva,0,,,1,2017,2017,1,2012,2012,0,,,0,,,0,,,0,,
0014643511799549,Emily Lira Simões,3,2019,2018,0,,,0,,,0,,,17,2017,2020,1,2015,2015,3,2014,2015
,Zildete Aparecida Guimarães,0,,,0,,,0,,,0,,,0,,,0,,,4,2011,2011
0014653099513604,Antonio de Pádua Diniz Carvalho,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,Alberto Antônio Rangel Ruiz,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0014681376277208,Pedro Augusto Beiler de Siqueira Garcia,0,,,0,,,0,,,0,,,0,,,0,,,4,2018,2018
0014692717408601,Rafael Silva Oliveira,1,2019,2019,0,,,4,2014,2020,1,2017,2017,0,,,0,,,10,2012,2017
0014712268863930,Macedo Santos de Oliveira,3,2010,2010,0,,,0,,,0,,,0,,,0,,,0,,
0014712384796365,Patricia Trinta e Farias Coutinho,0,,,0,,,2,2013,2008,0,,,2,2011,2009,0,,,14,2005,2006
,Thatiana de Barros Valentino,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0014715363816849,Auriana Miranda Walker,2,2015,2020,0,,,0,,,0,,,1,2011,2011,0,,,2,2011,2011
0014737852067556,Ezio Mantegazza,0,,,0,,,0,,,0,,,4,1987,1984,0,,,0,,
0014746249356487,Priscilla Basmage Lemos Drulis,5,2019,2021,0,,,5,2019,2021,3,2020,2021,0,,,4,2021,2021,14,2017,2017
0014857346885050,Maria Edi Rocha Ribeiro,24,1979,2012,3,2000,2009,14,2000,2011,38,1999,2011,67,1984,2012,73,2004,2015,15,2002,2011
0014859858896869,Flávio Santos Tavares,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0014864496833848,Leandro Moreira Barra,1,2018,2018,2,2014,2014,0,,,0,,,0,,,0,,,4,2009,2010
0014888777397287,Amanda Pacheco Seixas,2,2015,2015,0,,,0,,,4,2012,2013,6,2013,2013,2,2012,2012,9,2012,2013
0014913921245104,Luisa Bechara de Lamounier Barbosa,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0014963913149743,Iljorvanio Silva Ribeiro,0,,,0,,,3,2017,2017,0,,,0,,,0,,,0,,
0014979807046104,Leandro Chen Antunes,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0015001696032636,Alessandra Vilas Boas Gomes Mendes,2,2016,2012,0,,,0,,,0,,,2,2010,2010,0,,,15,2010,2013
0015021275451887,Renato Pizzinato Ferrari,0,,,1,2018,2018,0,,,0,,,0,,,0,,,1,1996,1996
0015021472900027,Márcia Rigoldi Simões Puydinger,0,,,0,,,0,,,0,,,0,,,0,,,1,2009,2009
0015053685793585,Cedma Ranielly Santos Firmino,0,,,0,,,1,2017,2017,4,2014,2017,8,2006,2007,1,2012,2012,1,2017,2017
0015069820483891,Heliton Augusto Wiggers,0,,,0,,,0,,,0,,,0,,,0,,,3,2010,2015
0015085954978508,Bernardo Schirmer Muratt,2,2017,2015,0,,,0,,,4,2015,2017,1,2016,2016,0,,,4,2015,2016
0015098318323081,Dinailton José da Silva,1,2008,2008,0,,,0,,,0,,,0,,,0,,,0,,
0015122954424304,Alcino de Oliveira Costa Neto,2,2020,2019,0,,,0,,,27,2019,2020,4,2019,2018,2,2019,2019,31,2019,2019
0015124154485253,Luiz Paulo Medina de Lima,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0015129488308551,Fernanda Jane Furtado Loureiro,3,2005,2003,0,,,1,2003,2003,6,2002,2003,2,1999,2002,3,2002,2003,8,2002,1999
0015147695378303,Bruno Tussi,3,2008,2011,0,,,2,2011,2011,1,2003,2003,0,,,0,,,3,2009,2007
0015163323542076,Antônio Alves dos Santos Neto,0,,,0,,,0,,,1,2006,2006,0,,,0,,,0,,
0015172222590910,Ana Melicia Moraes de Souza,1,2018,2018,1,2016,2016,0,,,0,,,0,,,0,,,0,,
0015190487786503,Bruno Marcondes Umbezeiro,0,,,0,,,1,2013,2013,2,2013,2012,0,,,1,2013,2013,1,2015,2015
0015199054389543,Maria Silma Lima de Brito,2,2020,2021,2,2020,2021,2,2020,2021,0,,,0,,,0,,,13,2005,2021
0015213045378214,Juliana de Oliveira Souza,0,,,2,2018,2013,0,,,0,,,0,,,0,,,1,2017,2017
0015232970973509,Danielson Corrêa leite,1,2020,2020,0,,,1,2019,2019,5,2011,2013,1,2014,2014,0,,,3,2011,2012
0015246038962459,Fellipe Jaculi Valdisser Faria,1,2015,2015,0,,,3,2009,2009,1,2015,2015,1,2011,2011,5,2015,2018,11,2011,2016
0015249703914272,Patricia Rodrigues da Costa,3,2012,2018,0,,,1,2015,2015,0,,,0,,,0,,,16,2008,2013
0015289152284540,Marcelo de Jesus de Oliveira,14,2018,2021,1,2018,2018,4,2019,2017,4,2018,2021,4,2018,2019,1,2018,2018,17,2017,2017
0015307411103309,Antonio Augusto Teixeira Ribeiro Coutinho,0,,,0,,,1,2020,2020,11,2001,2016,4,1997,2008,1,2018,2018,6,2007,2004
0015318965013013,Edmilson Bitti Loureiro,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0015326889754202,Denilson Coelho de Faria,3,2009,2011,0,,,0,,,0,,,18,2006,2017,10,2008,2010,0,,
0015338225570247,Auro José Alves de Santana,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0015350116850672,Francinete Costa Soares Barroso,1,2019,2019,0,,,0,,,1,2014,2014,5,2017,2017,1,2015,2015,1,2016,2016
0015364218882318,Clarissa Barbosa de Oliveira,0,,,0,,,0,,,2,2008,2009,7,2006,2009,1,2007,2007,6,2006,2011
0015378159322253,Eduardo Dimas Andrino Nogueira,3,2010,2018,0,,,0,,,6,2006,2012,0,,,0,,,0,,
0015421021566665,Fernando Ribeiro Andrade,1,2008,2008,0,,,1,2018,2018,0,,,0,,,0,,,9,2010,2010
0015451126418088,Welber Carlos Santana Lima,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0015452725909410,Narjara Cristine Tavares Oliveira,1,2015,2015,0,,,0,,,0,,,0,,,0,,,0,,
,Hellen Paim Romera,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,Ronaldo Claret Ribeiro da Silva,8,1994,1993,0,,,0,,,0,,,0,,,0,,,0,,
0015481344377133,Virginia Camila Rufino,5,2018,2020,0,,,0,,,0,,,4,2017,2019,0,,,3,2016,2018
,Marcelino Andre Brutti,0,,,0,,,0,,,0,,,0,,,0,,,2,2013,2013
0015527839272634,Augusto César Melo de Oliveira,1,2005,2005,0,,,0,,,1,2005,2005,0,,,0,,,0,,
,Rafael Brasil Ferro Costa,1,2004,2004,0,,,0,,,2,2005,2007,2,2005,2006,0,,,1,2004,2004
0015565896941834,Cynthia Penoni Volpi Abreu,0,,,0,,,0,,,1,2010,2010,10,2011,2013,2,2015,2015,1,2010,2010
0015569775943711,Francisval Dias Mendes,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0015575280210248,Fábio Cavalcante de Assis,1,2021,2021,0,,,0,,,0,,,0,,,0,,,13,2013,2013
0015600553584891,Consuelo Froehner,0,,,0,,,0,,,2,2016,2007,0,,,0,,,2,2007,2016
0015607870516284,Tito Arturo Valencia Monardez,1,2015,2015,0,,,0,,,0,,,1,1994,1994,0,,,0,,
0015608935282465,Marina Monteiro Celestino,1,2017,2017,0,,,0,,,0,,,3,2009,2013,0,,,4,2009,2013
0015618772602012,Julia Carolina Castro Maldonado,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0015664895491576,Marcelino de Carvalho Santana,2,2019,2021,0,,,0,,,4,2018,2018,0,,,0,,,8,2020,2020
0015669874542287,João Fernando Cá,2,2019,2020,0,,,1,2016,2016,0,,,0,,,0,,,10,2018,2019
0015697933598012,Luiz Guilherme Ravacci Pires,1,2010,2010,0,,,0,,,2,1990,1992,0,,,0,,,0,,
0015705314686743,Paula Veronesi Marinho Pontes,3,2010,2016,0,,,0,,,0,,,32,2009,2009,0,,,6,2004,2009
0015734620706487,Iassudara Garcia de Almeida,4,2009,2013,0,,,0,,,0,,,1,2010,2010,2,2012,2013,0,,
0015743089219902,Ana Paula Mota Portela,14,2002,2006,0,,,0,,,1,2002,2002,26,2002,2007,6,2005,2005,0,,
0015758493703787,Sabrina de Oliveira Anício,2,2021,2021,0,,,0,,,1,2020,2020,1,2019,2019,1,2021,2021,0,,
0015786157890917,Vanessa Campelo Souza,3,2019,2019,0,,,0,,,0,,,1,2011,2011,0,,,5,2011,2010
0015801673426874,Flávia Porto da Costa,0,,,0,,,0,,,0,,,3,2007,2008,3,2007,2009,0,,
0015806818189874,Liciane Timoteo de Mamede,1,2021,2021,1,2010,2010,1,2019,2019,2,2012,2018,0,,,0,,,1,2019,2019
0015808068342801,Júlio César Cotrim Moreira Filho,0,,,0,,,0,,,5,2008,2012,2,2009,2009,1,2011,2011,7,2009,2014
0015816481800280,Igor Fontes Cadena,0,,,0,,,0,,,2,2020,2020,0,,,0,,,0,,
,Juliano Nunes Costa,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0015866006990637,Camila Matos de Oliveira,0,,,3,2007,2009,0,,,0,,,0,,,0,,,6,2010,2008
0015876086759970,Alexandre Tortorella Mandl,3,2011,2011,1,2013,2013,3,2017,2018,1,2013,2013,0,,,0,,,63,2005,2015
0015879869695830,Fernanda Saad Rodrigues,4,2008,2010,0,,,0,,,0,,,0,,,0,,,7,2016,2016
0015882995471438,Francisco Miqueias Sousa Nunes,6,2014,2014,2,2018,2018,1,2018,2018,11,2012,2018,0,,,0,,,1,2013,2013
0015905220375957,Antônio Eugenio Chemim,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0015906653285455,Olivio Luchi,1,2002,2002,0,,,0,,,1,2006,2006,0,,,0,,,0,,
0015927168023271,Wellington Souza Amaral,0,,,0,,,0,,,0,,,0,,,0,,,1,2016,2016
0015935907128248,Aline Campos Figueiredo,2,2011,2016,0,,,0,,,3,2013,2019,0,,,0,,,3,2018,2015
0015953458508982,Kisner Anderson Maia,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0015958989657727,Fernanda Jung Drebes,0,,,0,,,0,,,2,2001,2003,0,,,0,,,0,,
0015964934683307,Nadia Cristine Freire Alves de Almeida,0,,,0,,,0,,,0,,,0,,,0,,,3,2014,2015
0015966663431655,Giuseppe Fernandes de Oliveira Barboza,0,,,0,,,0,,,0,,,1,2010,2010,0,,,14,2010,2012
0015990270921490,Kessy Rizental da Silva,1,2014,2014,0,,,0,,,1,2014,2014,2,2011,2008,0,,,6,2008,2015
0016029620906968,Renata Leite Cândido de Aguiar Moreira,2,2010,2006,0,,,0,,,4,2005,2005,3,2008,2008,0,,,12,2005,2015
0016033807223182,Daniel Tochetto de Oliveira,1,2015,2015,1,2016,2016,0,,,7,2006,2013,5,2006,2011,2,2008,2008,18,2006,2006
0016038388925227,Débora Familiar Rodrigues Macedo,3,2021,2021,0,,,0,,,0,,,2,2016,2013,0,,,0,,
0016048220647606,José Carlos de Castro Junior,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0016052875958413,Joana D Arc Moraes dos Santos,0,,,0,,,0,,,0,,,0,,,0,,,1,2013,2013
0016058584340709,Joyce Noelly Vitor Santos,5,2019,2021,0,,,0,,,0,,,7,2017,2018,1,2020,2020,13,2018,2021
0016060421846527,Luciane Mialich Scadelai,0,,,2,2014,2013,1,2012,2012,0,,,20,2012,2019,0,,,4,2013,2012
0016083891783673,Bárbara Elizabeth Rocha,0,,,0,,,0,,,0,,,7,2007,2010,0,,,8,2007,2016
0016088027559146,José do Prado Martins,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0016090437112705,Leyli Abdala Pires Boemer,2,2005,1995,1,2013,2013,2,2013,2013,2,2002,2003,3,1996,1999,0,,,7,2012,2007
0016093551799708,Alexandre Severino Pereira,5,2013,2016,0,,,0,,,7,2005,2012,0,,,0,,,6,2005,2012
0016118054599294,Alejandra Carolina Cáceres Rigo,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0016125759572262,Gustavo Aiex Lopes,1,2018,2018,0,,,0,,,0,,,0,,,0,,,1,2015,2015
0016131020577584,Thiago Adriano dos Santos,7,2015,2019,0,,,0,,,1,2015,2015,1,2007,2007,0,,,7,2013,2017
0016173747275770,Rosana Patzlaff de Souza Neumann,0,,,0,,,0,,,1,2001,2001,0,,,0,,,0,,
0016191140456060,Gilda Pereira da Silva,1,2013,2013,0,,,0,,,2,2013,2019,0,,,0,,,9,2010,2019
0016208391442640,Felipe Santos Machado,1,2015,2015,0,,,0,,,1,2012,2012,1,2012,2012,0,,,6,2007,2012
0016210926560842,Milena de Castro Silveira,5,2000,2006,0,,,0,,,0,,,0,,,0,,,0,,
0016228395554521,Barbara Luciane Perdigão Stumpf,9,2010,2018,0,,,10,2006,2017,0,,,7,2002,2002,0,,,18,2006,2012
0016238916090957,Luciara Leite de Mendonça,2,2017,2016,0,,,2,2017,2016,0,,,2,2016,2015,0,,,6,2015,2015
0016255940474232,Patrícia Maralyne Lopes Lisbôa Fagundes,0,,,0,,,0,,,0,,,0,,,0,,,3,2017,2017
,Nilda de Moraes Silva,1,2002,2002,0,,,0,,,0,,,0,,,0,,,0,,
0016300915528943,Vânia Cristina Fernandes Medeiros,0,,,0,,,0,,,0,,,0,,,0,,,5,2016,2016
0016329071166363,Matheus Kayssan Opa Pinheiro,0,,,0,,,0,,,1,2016,2016,2,2015,2016,0,,,1,2016,2016
0016332451849541,Aníbal Pereira de Souza,1,2020,2020,0,,,0,,,12,2009,2009,9,1999,1999,9,2009,2010,3,2009,2019
0016333196576587,Lucas Patrício de Souza,0,,,0,,,0,,,0,,,2,2017,2019,1,2016,2016,0,,
0016343257512119,Fernando Henrique Villwock,14,2014,2017,2,2019,2019,3,2015,2019,22,2013,2020,3,2013,2013,7,2013,2015,26,2013,2014
0016366445200735,Pollyana Correia Lima,0,,,8,2010,2019,0,,,2,2012,2016,1,2013,2013,0,,,14,2012,2020
0016400555012755,Fabrízzio Cabral de Lacerda,0,,,0,,,0,,,3,2005,2005,0,,,0,,,0,,
0016412502428250,Pedro Henrique Coelho da Silva,0,,,0,,,0,,,2,2013,2014,0,,,0,,,1,2014,2014
,Ana Rosa Zurlo Dellazzana,3,2001,2005,0,,,4,2001,2005,0,,,43,1999,2005,0,,,1,2006,2006
0016422869289210,Rodrigo Antoniassi Cardim,0,,,0,,,0,,,1,2019,2019,3,2018,2019,0,,,4,2018,2019
,Adriano Emanuel Amaral de Almeida,0,,,1,1998,1998,0,,,5,2003,2011,11,1996,2013,3,2011,2012,1,2013,2013
0016443976620024,César da Silva Camargo,6,1995,1990,2,2015,1987,0,,,1,2003,2003,2,2002,2003,0,,,0,,
0016447559237418,Lidenilson Sousa da Silva,1,2018,2018,1,2019,2019,0,,,0,,,0,,,0,,,8,2016,2019
0016451753105367,José Augusto Farias Santos,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,Karina Karla Cavalcante de Oliveira,0,,,0,,,0,,,2,2003,1997,0,,,0,,,0,,
0016458512922999,Angela Maria Rosas Cardoso,6,2007,2021,0,,,0,,,1,2020,2020,9,2016,2012,0,,,18,2012,2012
0016467000696298,Débora Gomes Ruiz,0,,,0,,,0,,,0,,,3,2014,2014,7,2005,2011,0,,
0016468178905915,Jean Carlo Benetti Bueno,0,,,0,,,0,,,0,,,0,,,0,,,4,2016,2010
0016473678012025,Ivson Souza Catunda,21,2011,2015,0,,,2,2014,2012,15,2002,2005,6,2010,2015,3,2011,2011,1,2016,2016
0016496281332021,Mayara Lopes Vianna,0,,,0,,,0,,,0,,,0,,,0,,,2,2010,2014
0016497816280664,Thaís Fernanda Bette,0,,,0,,,0,,,0,,,0,,,0,,,3,2012,2012
0016514232696166,José Airton da Silva,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0016530644697836,Dayana Cardoso Cruz,3,2020,2019,0,,,0,,,0,,,0,,,0,,,0,,
0016549228076073,Franciano Sabadim Assis,1,2013,2013,0,,,0,,,0,,,0,,,0,,,0,,
0016615543873229,Joachim Carreira,0,,,0,,,1,2015,2015,1,2014,2014,0,,,0,,,5,2014,2011
0016683459669458,Nura Modi Shagari,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0016686159559319,Ana Beatriz Bernardes Oliveira,3,2014,2014,0,,,3,2016,2019,17,2013,2013,0,,,2,2015,2015,10,2013,2013
0016687535149292,Guilherme Beltramin de Faria Rodrigues,3,2009,2021,0,,,0,,,1,2015,2015,1,2018,2018,0,,,7,2015,2010
0016702431423755,Adriana da Rosa Cherem,7,2004,2010,0,,,0,,,0,,,28,2001,2007,0,,,7,2002,2009
0016725540732082,Nelson Kodama Lançoni Raymundo,5,2002,2018,0,,,0,,,0,,,3,2002,2003,3,2003,2002,8,2002,2013
0016788005028908,Alfredo Carlos Cardoso Saad,3,1977,2007,4,2006,1980,0,,,1,1984,1984,0,,,0,,,42,1985,1989
0016799915658994,Rubens de Aquino Dionisio,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0016843493521727,Emerson Flores Gracia,2,2017,2015,0,,,0,,,1,2015,2015,1,2015,2015,0,,,1,2015,2015
0016878177988114,Pedro Saint Clair Garcia,0,,,0,,,0,,,1,2019,2019,0,,,0,,,1,2019,2019
0016911941864693,Alane Azevedo Brito,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,Elisangela Aparecida Truzzi,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0016930681549882,Ronaildo Fabino Neto,15,2014,2021,0,,,4,2018,2021,0,,,13,2013,2021,23,2012,2015,23,2015,2014
0016980486171993,Adeline de Mira Fernandes,2,2018,2016,0,,,0,,,0,,,11,2011,2016,1,2012,2012,3,2012,2011
0016981900981754,Rafaella Elíria Abbott Ericksson,0,,,0,,,0,,,0,,,0,,,0,,,7,2014,2014
0016992072085799,Fábio de Araújo Pinto Sobrinho,1,2006,2006,0,,,0,,,1,2000,2000,3,2002,2006,5,2002,2004,0,,
0017012399511241,Julia Baranzelli,4,2018,2021,0,,,0,,,10,2012,2015,10,2013,2016,1,2018,2018,6,2012,2016
0017041644922709,Renata Graniti,0,,,0,,,0,,,0,,,0,,,0,,,4,2008,2009
0017042915445620,Manoel Victor Meira Lima Vidal,0,,,0,,,0,,,0,,,0,,,0,,,1,2019,2019
0017068912090991,Bárbara Dias Ferreira,2,2015,2016,0,,,0,,,0,,,0,,,0,,,3,2015,2014
0017077221476969,Rodrigo Parente Medeiros,4,2013,2014,0,,,0,,,0,,,4,2011,2016,1,2011,2011,22,2015,2015
0017079674894697,Milton Luiz Merony Ceia,3,2001,2011,0,,,0,,,1,2018,2018,0,,,0,,,3,2017,2017
0017098166381781,Florin-Alexandru Enia,0,,,0,,,0,,,0,,,0,,,0,,,6,2014,2016
0017100485472115,Marianna de Souza Oliveira Ottoni,1,2019,2019,3,2019,2018,1,2019,2019,8,2018,2019,1,2019,2019,0,,,1,2019,2019
0017115059729458,Carlos Augusto Badillo Almeira,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0017120384451554,Lúcia Helena Moraes Vilela,0,,,0,,,0,,,0,,,0,,,0,,,4,1988,1995
0017126323905614,Paula Novais da Silva Schmidt Campos,0,,,0,,,0,,,1,2011,2011,7,2006,2008,3,2006,2010,14,2006,2010
0017147129682028,Waldir Antonio Alves,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0017151664499119,Deise Rodrigues Da Cruz,0,,,0,,,0,,,0,,,3,2010,2010,0,,,5,2014,2012
,Fernanda Pessanha Vasques,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0017164582958750,Daiana Biduski,12,2018,2015,0,,,0,,,6,2015,2018,0,,,16,2013,2015,3,2014,2013
0017187222991337,Marinalva Dias de Lima,0,,,0,,,2,2012,2014,2,2014,2014,5,2011,2014,2,2013,2013,0,,
0017188152071755,Theresa Cristina de Albuquerque Siqueira,9,1996,1997,2,2014,2013,2,2020,2018,3,2009,2019,20,1998,2019,4,2013,2019,18,2003,2007
0017195536956386,Aloisio Masson,0,,,1,2014,2014,0,,,0,,,0,,,0,,,0,,
0017208558479044,Marcelo Monte Karam,4,2014,2014,1,2021,2021,1,2014,2014,0,,,0,,,0,,,1,2017,2017
0017219857912637,Ana Carolina Guidi,6,2020,2021,0,,,1,2019,2019,1,2017,2017,15,2015,2017,12,2015,2015,30,2013,2018
0017226799137417,Luiz Felipe Borges Martins,7,2012,2020,0,,,1,2015,2015,3,2014,2014,9,2008,2008,38,2009,2019,24,2008,2021
0017254712870479,Francisco de Assis de Souza Rodrigues,1,2020,2020,0,,,0,,,2,2013,2019,1,2015,2015,0,,,8,2013,2015
0017260439120131,Celio Henrique Nogueira Larcher Junior,0,,,0,,,1,2021,2021,4,2013,2017,1,2013,2013,2,2013,2013,3,2013,2021
0017270245898728,José Roberto Araújo,0,,,0,,,0,,,0,,,0,,,0,,,3,2009,2019
0017275426595410,Marisa Beltrão Malta,0,,,0,,,0,,,0,,,0,,,2,2012,2011,3,2016,2014
0017282520843170,Silvana Maria Aquino da Silva,2,2017,2001,0,,,0,,,0,,,1,2008,2008,0,,,30,2006,2006
0017291664258177,Lucas Ferrarezi Grubba,0,,,0,,,0,,,0,,,0,,,0,,,3,2015,2019
0017292546217718,Débora Soares Alexandre Melo Silva,0,,,0,,,1,2013,2013,0,,,0,,,0,,,4,2008,2013
0017326226888537,Kellen Cristyan Teixeira de Oliveira,0,,,0,,,0,,,0,,,0,,,0,,,0,,
